"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MC4R",45.1599374297685,1.50713233654514,0.358673065357056,4.20196686652455,2.6460586960134e-05,0.000899659956644557
"SIM1",35.2066927070382,1.74877741327521,0.513918482787578,3.40283035509748,0.000666916759659876,0.0113375849142179
"BDNF",43.5689166861834,-0.694228437133897,0.309444907787724,-2.24346376257104,0.0248669241219249,0.23739454754205
"CADM2",43.2982123223813,-0.688957178563032,0.313406603863649,-2.19828545432556,0.0279287702990647,0.23739454754205
"FTO",9.6075096574631,2.91227259654473,1.58294300479904,1.83978361047463,0.0658000125740927,0.447440085503831
"ANO4",1.60686652854454,4.16132870688109,3.93504367133926,1.05750508874653,0.290281133421202,0.893952956791584
"CREBRF",1.05105864901835,3.54881061100875,3.56672406597796,0.994977616816483,0.319747150782779,0.893952956791584
"KIAA0586",12.780066084278,-1.4924180475554,1.56996853798822,-0.950603793288626,0.341805542302664,0.893952956791584
"KSR2",19.0561191125317,-2.59871255992352,1.86678304799695,-1.39208065056726,0.163897976883512,0.893952956791584
"LEP",21.5167063191273,-2.93220065098844,2.40706981486253,-1.21816186339236,0.223162468832445,0.893952956791584
"PCSK1",42.3597315446485,0.340682560484325,0.335129569060853,1.01656968508936,0.309358181563418,0.893952956791584
"PHIP",2.52794260913472,4.8174159263707,3.92473223594892,1.22745085186836,0.219653183535789,0.893952956791584
"UHMK1",23.463395380331,-0.969327661673594,0.835477112595008,-1.16020851685912,0.245963920236808,0.893952956791584
"MRAP2",18.4403929155253,1.52158020155093,1.72261681549316,0.883295801983286,0.377076471390101,0.91575714480453
"ADCY3",9.44567842981318,1.72543936110229,2.78298663147709,0.619995562172896,0.535260708664992,0.923688549559058
"AGRP",21.817920202108,-0.944318804386623,1.44947258551226,-0.651491317480068,0.514729380061296,0.923688549559058
"ANKRD27",32.0319178927244,0.0759411236934085,0.535218134165462,0.141888173897208,0.887168335668337,0.923688549559058
"CADM1",23.1510956016756,0.483756043018284,1.46428622631247,0.330369865075173,0.741120508628575,0.923688549559058
"CALCR",32.0384805314098,0.0826474649593064,0.535468381638802,0.15434611602344,0.877336837605739,0.923688549559058
"CNR1",42.8160711301089,0.37805637752019,1.52507504717427,0.247893622166772,0.804216714699459,0.923688549559058
"DPP9",9.27386136679014,-1.13332794172985,3.54155930201526,-0.320008178624866,0.748962130664501,0.923688549559058
"GPR151",64.4769093241551,0.122020198612892,0.172466907547896,0.707499197079329,0.479256311484816,0.923688549559058
"GPR75",40.5850705714723,-0.0622216617269758,0.349548154884657,-0.178005979598169,0.858718279700775,0.923688549559058
"LEPR",10.4888953052884,-0.73645941316143,1.32782809657845,-0.554634605984873,0.579144613666825,0.923688549559058
"NRP2",10.6160611536688,1.49088093966626,2.78237870387047,0.535829625777522,0.592076305146546,0.923688549559058
"NTRK2",15.7292617023742,-0.751013086187902,1.40175604040529,-0.535765899728717,0.592120352375095,0.923688549559058
"PDE3B",27.6572830803757,-0.172162223831946,1.20376808464139,-0.143019428765828,0.88627483699383,0.923688549559058
"POMC",47.3755307706711,-0.0649539822415972,0.278122166592847,-0.233544787304514,0.815338395657029,0.923688549559058
"PPARG",32.902291991454,0.195267927366987,0.545511967442813,0.357953517101267,0.720378099702714,0.923688549559058
"ROBO1",0.829865511884268,3.21247859131478,3.96117505658736,0.810991320863865,0.417370654954695,0.923688549559058
"SH2B1",40.4359321591383,-0.0510286351132933,0.4031779792259,-0.126566027269813,0.899283886960274,0.923688549559058
"SPARC",46.6385352217584,-0.0260867084364211,0.272336532384175,-0.0957885018511641,0.923688549559058,0.923688549559058
"TMEM18",14.9947557451104,-0.479448540353098,1.0248519680902,-0.467822237046143,0.639911717036725,0.923688549559058
"UBR2",13.8619508398615,0.292307893526573,2.6701508793659,0.109472425616634,0.9128277914724,0.923688549559058
"BLTP1",0,NA,NA,NA,NA,NA
"GIPR",0,NA,NA,NA,NA,NA
"NRP1",0,NA,NA,NA,NA,NA
